Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
NitroFix,https://finder.startupnationcentral.org/company_page/nitrofix,Generating Zero-carbon Emissions Ammonia,Energy-tech,2022,01-Oct,Seed,83545538
H2Pro,https://finder.startupnationcentral.org/company_page/h2pro,Hydrogen Fuel Production Technology,Energy-tech,2019,51-200,B,28535770
BeeHero,https://finder.startupnationcentral.org/company_page/beehero,Beehive Monitoring Solution,AgriFood-tech & Water,2017,51-200,B,28669130
SolarEdge,https://finder.startupnationcentral.org/company_page/solaredge,Distributed Solar Power Harvesting and Module-level PV Monitoring,Energy-tech,2006,500+,Public,361424
Snyk,https://finder.startupnationcentral.org/company_page/snyk,Developer Security Platform,Security Technologies,2015,500+,G,10043614
Pinecone,https://finder.startupnationcentral.org/company_page/pinecone1,Database for Vector-based Applications,"Enterprise, IT & Data Infrastructure",2019,51-200,A,20299330
SOLATO,https://finder.startupnationcentral.org/company_page/solo-gelato,"Pod-based Gelato, Sorbet, and Frozen Yogurt Machine",AgriFood-tech & Water,2012,51-200,Seed,7959834
monday.com,https://finder.startupnationcentral.org/company_page/dapulse,Collaborative Workflow Platform,"Enterprise, IT & Data Infrastructure",2012,500+,Public,2525169
Foretellix,https://finder.startupnationcentral.org/company_page/foretellix,"Verifying Automated Driving Systems for Safe, Large-scale Deployment",Smart Mobility,2018,51-200,C,18446686
Astria,https://finder.startupnationcentral.org/company_page/astria,AI Image Generator,Content & Media,2022,01-Oct,Pre-Funding,
Chain Reaction,https://finder.startupnationcentral.org/company_page/chain-reaction,Accelerating Computing Performance with Energy-efficient Blockchain and Privacy Solutions,Industrial Technologies,2019,51-200,C,72665759
Bambi Dynamic,https://finder.startupnationcentral.org/company_page/bambi-dynamic,"Platform for Mobility, Usage-based, and On-demand Insurance",FinTech,2017,Nov-50,A,18142498
CropX,https://finder.startupnationcentral.org/company_page/cropx,Agricultural Analytics,AgriFood-tech & Water,2015,51-200,C,10147582
Percepto,https://finder.startupnationcentral.org/company_page/percepto,Autonomous Inspection & Monitoring Solution for Monitoring Critical Infrastructure in Industrial Sites ,Energy-tech,2014,51-200,C,5366007
Lemonade,https://finder.startupnationcentral.org/company_page/lemonade,AI-driven Insurance Provider,FinTech,2015,500+,Public,1201453
Nanox Vision,https://finder.startupnationcentral.org/company_page/nanox-vision,Medical Imaging Technology and Solutions,Life Sciences & HealthTech,2018,51-200,Public,10283431
Quantum Source Labs,https://finder.startupnationcentral.org/company_page/quantum-source-labs,Photonic-based Quantum Computing,Industrial Technologies,2021,Nov-50,Seed,76546346
Tomorrow.io,https://finder.startupnationcentral.org/company_page/tomorrow-io,AI-powered Weather Intelligence Platform,"Enterprise, IT & Data Infrastructure",2016,51-200,E,10290386
Fireblocks,https://finder.startupnationcentral.org/company_page/fireblocks,End-to-end Security Platform for Transferring Digital Assets,FinTech,2018,500+,E,14824547
Addionics,https://finder.startupnationcentral.org/company_page/addionics,High-performance Rechargeable Batteries,Energy-tech,2017,Nov-50,A,18323880
RiseUp,https://finder.startupnationcentral.org/company_page/riseup,Proactive Financial Service Empowering Customers,FinTech,2017,51-200,B,18679438
QD-SOL,https://finder.startupnationcentral.org/company_page/qdsol-ltd,Sunlight-based Water Splitting for Green Hydrogen Generation,Energy-tech,2021,Nov-50,Seed,81827403
Tabnine,https://finder.startupnationcentral.org/company_page/codota,AI-powered Code Completion Tool for Software Developers,"Enterprise, IT & Data Infrastructure",2013,Nov-50,B,3236936
SolCold,https://finder.startupnationcentral.org/company_page/solcold,Solar Cooling Technology,Energy-tech,2016,Nov-50,B,17933131
Vayyar,https://finder.startupnationcentral.org/company_page/vayyar,Multifunctional 4D Radar Imaging Sensors,Industrial Technologies,2011,201-500,E,5094711
Healthy.io,https://finder.startupnationcentral.org/company_page/healthy-io,At-home Urinalysis and Digitized Wound Care,Life Sciences & HealthTech,2013,201-500,D,10088862
Genopore,https://finder.startupnationcentral.org/company_page/genopore,Semiconductor Protein Detector,Life Sciences & HealthTech,2020,01-Oct,Seed,
Swapp,https://finder.startupnationcentral.org/company_page/buildos,AI-driven Platform for Generating Construction Documents,Industrial Technologies,2019,Nov-50,A,35520324
Waze,https://finder.startupnationcentral.org/company_page/waze,Community-based Traffic and Navigation App,Smart Mobility,2007,500+,Mature,379681
UltraSight,https://finder.startupnationcentral.org/company_page/on-sight-medical,Cardiac Ultrasound with Real-time AI Guidance,Life Sciences & HealthTech,2019,Nov-50,B,14836942
AI21 Labs,https://finder.startupnationcentral.org/company_page/ai211,AI-based Writing Solution,"Enterprise, IT & Data Infrastructure",2017,51-200,B,18424078
SolOr,https://finder.startupnationcentral.org/company_page/solor,Solar Paint that Converts Sunlight into Electricity,Energy-tech,2021,01-Oct,Pre-Seed,79579765
PoLoPo,https://finder.startupnationcentral.org/company_page/polopo,High-scale Production of Proteins in Plants,AgriFood-tech & Water,2022,01-Oct,Pre-Seed,82132603
Imagindairy,https://finder.startupnationcentral.org/company_page/imagindairy,Animal-free Dairy Products,AgriFood-tech & Water,2020,Nov-50,Seed,68846529
Zooz Power,https://finder.startupnationcentral.org/company_page/zooz-power,Kinetic Power Booster Enabling Ultra-fast EV Charging,Energy-tech,2013,Nov-50,Public,2865502
Fabric,https://finder.startupnationcentral.org/company_page/commonsense-robotics,On-demand Logistics Platform,Retail & Marketing,2015,201-500,C,28445862
Airovation Technologies,https://finder.startupnationcentral.org/company_page/airovation-technologies,Industrial Carbon Capture ,Industrial Technologies,2013,Nov-50,A,70470702
Mobileye,https://finder.startupnationcentral.org/company_page/mobileye,Autonomous Driving and Driver-assist Technologies,Smart Mobility,1999,500+,Public,24017
N-Drip,https://finder.startupnationcentral.org/company_page/ndrip,Gravity Micro-irrigation Solution,AgriFood-tech & Water,2015,51-200,C,19106398
Viber,https://finder.startupnationcentral.org/company_page/viber,Free and Secure Messaging and Calls,Content & Media,2010,500+,Mature,1710293
Autotalks,https://finder.startupnationcentral.org/company_page/autotalks,Vehicle-to-vehicle Communication Technology,Smart Mobility,2008,51-200,Mature,1576565
Stratasys,https://finder.startupnationcentral.org/company_page/stratasys,Industrial 3D Printing and Additive Manufacturing,Industrial Technologies,1998,500+,Public,415728
Navan,https://finder.startupnationcentral.org/company_page/navan,Corporate Travel and Expense Management,FinTech,2015,51-200,G,79902774
Tingo Medical,https://finder.startupnationcentral.org/company_page/tingo-medical,Continuous Glucose Monitoring Device for Diabetes Patients,Life Sciences & HealthTech,2020,01-Oct,Seed,
Hexa,https://finder.startupnationcentral.org/company_page/fitix,Converting Existing Imagery and Information into Immersive Content,Retail & Marketing,2015,51-200,A,10098278
bit,https://finder.startupnationcentral.org/company_page/bit1,P2P Mobile Payment Solution,FinTech,2016,01-Oct,Pre-Funding,
Retym,https://finder.startupnationcentral.org/company_page/retym,Optical Communication Infrastructure,Industrial Technologies,2021,Nov-50,Pre-Funding,
Amai Proteins,https://finder.startupnationcentral.org/company_page/amai-proteins1,Sweet Designer Proteins as a Sugar Substitute,AgriFood-tech & Water,2016,Nov-50,Seed,11406821
Wiliot,https://finder.startupnationcentral.org/company_page/wiliot,Battery-free Bluetooth Tags,Industrial Technologies,2016,51-200,C,17943955
StoreDot,https://finder.startupnationcentral.org/company_page/storedot,Extreme Fast-charging Electric Vehicle Batteries,Energy-tech,2012,51-200,D,2667427
Brenmiller Energy,https://finder.startupnationcentral.org/company_page/brenmiller-energy,Thermal Energy Storage,Energy-tech,2012,51-200,Public,5040869
Equinom,https://finder.startupnationcentral.org/company_page/equinom,Non-GMO Seed Varieties,AgriFood-tech & Water,2012,Nov-50,D,10699338
WINT Water Intelligence,https://finder.startupnationcentral.org/company_page/wint-water-intelligence,Enterprise-grade Water Management and Control Solutions,AgriFood-tech & Water,2017,51-200,C,5062917
UVeye,https://finder.startupnationcentral.org/company_page/uveye,Under-vehicle Inspection System,Smart Mobility,2016,51-200,D,15160113
Unit Finance,https://finder.startupnationcentral.org/company_page/unit-finance,Banking Service Integration for Tech Companies,FinTech,2019,51-200,C,20401117
Copyleaks,https://finder.startupnationcentral.org/company_page/copyleaks,Plagiarism Detector Software,"Enterprise, IT & Data Infrastructure",2011,Nov-50,A,4989573
DiA Imaging Analysis,https://finder.startupnationcentral.org/company_page/DiA-Imaging-Analysis,AI-driven Ultrasound Analysis,Life Sciences & HealthTech,2009,Nov-50,Mature,5004363
Moon Active,https://finder.startupnationcentral.org/company_page/moon-active,Cross-platform Game Development Studio,Content & Media,2012,500+,Pre-Seed,3229376
Israel Aerospace Industries,https://finder.startupnationcentral.org/company_page/IAI,Military and Commercial Aerospace Technology,Aerospace & Aviation,1953,500+,Mature,10057737
Coro,https://finder.startupnationcentral.org/company_page/coro,All-in-one Cyber Protection,Security Technologies,2014,201-500,C,3574843
Ormat Technologies,https://finder.startupnationcentral.org/company_page/ormat-technologies,Geothermal and Waste Heat Power,Energy-tech,1965,500+,Public,44998
XTEND,https://finder.startupnationcentral.org/company_page/xtend,Human-guided Autonomous Systems,Security Technologies,2018,51-200,A,33194604
Solutum,https://finder.startupnationcentral.org/company_page/solutum,Environmentally Friendly Water Soluble & Biodegradable Plastic Material,Industrial Technologies,2017,Nov-50,A,19138464
HomeBiogas,https://finder.startupnationcentral.org/company_page/homebiogas,Household Biogas Digester System,Energy-tech,2012,51-200,Public,3575821
NOF - Natural Offset Farming,https://finder.startupnationcentral.org/company_page/nof-natural-offset-farming,CO2 Utilization and Decarbonization,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,nof-natural-offset-farming
Imagry,https://finder.startupnationcentral.org/company_page/imagry,Mapless Autonomous Driving,Smart Mobility,2015,51-200,A,3235709
Sunbit,https://finder.startupnationcentral.org/company_page/sunbit,Flexible Payment Solutions for Retailers,FinTech,2016,201-500,D,7932639
Playtika,https://finder.startupnationcentral.org/company_page/playtika,Computer and Mobile Games,Content & Media,2010,500+,Public,1919232
Binah.ai,https://finder.startupnationcentral.org/company_page/binah-ai,AI-powered Video-based Health and Wellness Monitoring,Life Sciences & HealthTech,2016,51-200,C,11093931
8fig,https://finder.startupnationcentral.org/company_page/8fig,"Custom, Flexible Growth Plan Platform for eCommerce Retailers",Retail & Marketing,2020,51-200,B,72434046
XtraLit,https://finder.startupnationcentral.org/company_page/xtralit,Direct Lithium Extraction from Aqueous Sources,Energy-tech,2021,Nov-50,A,95925301
Bria AI,https://finder.startupnationcentral.org/company_page/bria-ai,Visual Generative AI Platform,Content & Media,2020,Nov-50,Seed,69230901
Aidoc,https://finder.startupnationcentral.org/company_page/tailormed,Empowering Physicians to Improve Patient Outcomes with AI,Life Sciences & HealthTech,2016,201-500,D,17885371
OrCam Technologies,https://finder.startupnationcentral.org/company_page/orcam-technologies,Assistive Technology for People with Vision Impairment or Reading Disabilities,Life Sciences & HealthTech,2010,201-500,E,1548125
Tevel Aerobotics Technologies,https://finder.startupnationcentral.org/company_page/tevel-airobotics,Fleet of Airborne Harvesting Robots for Orchards,AgriFood-tech & Water,2016,51-200,B,35526692
Tailor Brands,https://finder.startupnationcentral.org/company_page/tailor-brands,Online Platform for Brand Design,Content & Media,2013,201-500,C,5309961
HiBob,https://finder.startupnationcentral.org/company_page/hibob,Modern HR for Modern Business,HR-tech,2015,500+,D,7586104
RapidAPI,https://finder.startupnationcentral.org/company_page/rapid-api,API Marketplace,"Enterprise, IT & Data Infrastructure",2014,51-200,D,10649600
Lightricks,https://finder.startupnationcentral.org/company_page/lightricks,Mobile Apps for Visual Editing,Content & Media,2013,500+,D,2887786
Hailo,https://finder.startupnationcentral.org/company_page/hailo,AI Processor for Edge Devices,Smart Mobility,2017,51-200,C,18349833
CleanFlare,https://finder.startupnationcentral.org/company_page/cleanflare,Flare Stack Monitoring and Control System,Industrial Technologies,2021,01-Oct,Pre-Seed,
SupPlant,https://finder.startupnationcentral.org/company_page/SupPlant,Plant Sensing Technology,AgriFood-tech & Water,2015,51-200,C,17909283
AugMedics,https://finder.startupnationcentral.org/company_page/augmedics,AR Guidance System for Surgical Procedures,Life Sciences & HealthTech,2014,51-200,D,5251279
Armis,https://finder.startupnationcentral.org/company_page/armis,Asset Intelligence Platform,Security Technologies,2015,500+,Mature,17905260
Wilk Technologies,https://finder.startupnationcentral.org/company_page/biomilk,Cultured Milk Production,AgriFood-tech & Water,2018,Nov-50,Public,69558062
1MRobotics,https://finder.startupnationcentral.org/company_page/1mrobotics,"Off-the-shelf, Automated Mini Warehouses",Smart Mobility,2021,51-200,A,76104181
Vesttoo,https://finder.startupnationcentral.org/company_page/vesttoo,Risk-management Solutions for the P&C and Longevity Insurance Markets,FinTech,2018,51-200,C,18857956
Bomvento,https://finder.startupnationcentral.org/company_page/bomvento,Carbon Removal Solution,Energy-tech,2022,01-Oct,Pre-Funding,93239034
aiOla,https://finder.startupnationcentral.org/company_page/aiola,Bridging the Gap Between Human Intelligence and Artificial Intelligence,"Enterprise, IT & Data Infrastructure",2019,51-200,A,
GenCell,https://finder.startupnationcentral.org/company_page/gencell,Hydrogen and Ammonia Fuel Cell Power Solutions,Energy-tech,2011,51-200,Public,3500202
Sight Diagnostics,https://finder.startupnationcentral.org/company_page/sight-diagnostics,Advanced Blood Diagnostics Platform,Life Sciences & HealthTech,2010,51-200,D,5066984
Clearly,https://finder.startupnationcentral.org/company_page/clearly,Mobility Emissions Management Platform,Smart Mobility,2021,Nov-50,Pre-Seed,72169505
Innoviz Technologies,https://finder.startupnationcentral.org/company_page/innoviz-technologies,High-performance Solid-state LiDAR and Perception Software,Smart Mobility,2016,201-500,Public,10593485
SirTlab Corporation,https://finder.startupnationcentral.org/company_page/sirtlab-corporation,Genetic Treatment for Age-related Diseases,Life Sciences & HealthTech,2012,01-Oct,Seed,
Daika Wood,https://finder.startupnationcentral.org/company_page/daika,New Wood Material,Industrial Technologies,2020,Nov-50,Seed,69700971
Brevel,https://finder.startupnationcentral.org/company_page/brevel,Creating the most sustainable alternative protein out there while keeping it tasty and affordable.,AgriFood-tech & Water,2017,Nov-50,Seed,18798034
infiniDome,https://finder.startupnationcentral.org/company_page/gps-dome,GPS Security Solutions,Security Technologies,2016,Nov-50,A,10881324
PowToon,https://finder.startupnationcentral.org/company_page/powtoon,Animated Video Presentation Solution,Retail & Marketing,2011,51-200,Mature,2565844
Biobeat,https://finder.startupnationcentral.org/company_page/biobeat,"AI remote patient monitoring platform, measuring 13 vital signs and triggering early clinical intervention",Remote Monitoring,2016,Nov-50,A,17969237
Syte,https://finder.startupnationcentral.org/company_page/syte,Visual AI Platform for Retail,Retail & Marketing,2015,51-200,C,9490547
Emnotion,https://finder.startupnationcentral.org/company_page/emnotion,Global Climate Modeling Solution,"Enterprise, IT & Data Infrastructure",2016,01-Oct,Pre-Seed,
Red Solar Flower,https://finder.startupnationcentral.org/company_page/red-solar-flower,Semi-transparent Solar Panels for Agriculture,Energy-tech,2021,01-Oct,Pre-Funding,
Image Navigation,https://finder.startupnationcentral.org/company_page/image-navigation,Hybrid Surgical Navigation and Robotic Dental Implant System,Life Sciences & HealthTech,2007,Nov-50,Seed,2920605
NoTraffic,https://finder.startupnationcentral.org/company_page/notraffic,Autonomous Traffic Management Platform,Smart Mobility,2017,51-200,B,
Pipl,https://finder.startupnationcentral.org/company_page/pipl,Personal Data Collection and Management,Security Technologies,2004,51-200,Mature,1315565
Airobotics,https://finder.startupnationcentral.org/company_page/airobotics,Automated Drone Platform for Industrial Facilities,Aerospace & Aviation,2014,51-200,Public,6922361
Sightful,https://finder.startupnationcentral.org/company_page/sightful,AR Laptop Without a Screen,Content & Media,2020,51-200,A,74498231
Novidea Software,https://finder.startupnationcentral.org/company_page/novidea,Cloud-based Insurance Solutions,FinTech,2009,51-200,C,1624099
6Degrees,https://finder.startupnationcentral.org/company_page/6degrees,Adaptive Hands-free Controller for Connected Devices,Life Sciences & HealthTech,2017,01-Oct,Seed,5289372
XRHealth,https://finder.startupnationcentral.org/company_page/vrphysio,Virtual Clinic for Rehabilitation and Therapeutic Care,Life Sciences & HealthTech,2016,51-200,A,18033972
Tarya,https://finder.startupnationcentral.org/company_page/tarya,Peer-to-peer Lending Platform,FinTech,2014,51-200,Public,5243255
Lusha,https://finder.startupnationcentral.org/company_page/lusha,B2B Sales intelligence Platform,Retail & Marketing,2016,201-500,B,33222678
Alteco AI,https://finder.startupnationcentral.org/company_page/alteco-ai,Energy Optimization Predictive Tools,Energy-tech,2020,01-Oct,Seed,69507541
Momentick,https://finder.startupnationcentral.org/company_page/momentick,Computer Vision-powered Methane and GHG Emissions Detections,Aerospace & Aviation,2020,Nov-50,Seed,76173883
Magenta Medical,https://finder.startupnationcentral.org/company_page/magenta-medical,Self-Expanding Percutaneous Mechanical Circulatory Support,Life Sciences & HealthTech,2012,51-200,D,6366808
accessiBe,https://finder.startupnationcentral.org/company_page/accessibe,AI-powered Web Accessibility Technology,"Enterprise, IT & Data Infrastructure",2018,51-200,A,18986691
HydroX,https://finder.startupnationcentral.org/company_page/hydrox,Hydrogen Storage Technology,Energy-tech,2016,Nov-50,A,76533043
Classiq Technologies,https://finder.startupnationcentral.org/company_page/classiq-technologies,Quantum Computing Software,"Enterprise, IT & Data Infrastructure",2020,51-200,B,67283179
Seeking Alpha,https://finder.startupnationcentral.org/company_page/seeking-alpha,Stock Market News and Financial Analysis,FinTech,2005,500+,Mature,56547
BeAir,https://finder.startupnationcentral.org/company_page/beair,Atmospheric Water Generation Technology,AgriFood-tech & Water,2019,01-Oct,Seed,77707563
ThermoTerra,https://finder.startupnationcentral.org/company_page/thermoterra,Harnessing Energy from Humidity Fluctuation,Energy-tech,2015,01-Oct,Pre-Funding,37898963
Greeneye Technology,https://finder.startupnationcentral.org/company_page/green-eye,AI-based Pest Control Solution for Agriculture,AgriFood-tech & Water,2017,Nov-50,A,49108503
Wiz,https://finder.startupnationcentral.org/company_page/wiz,Cloud Security Platform,Security Technologies,2020,500+,D,64890982
Plastic Back,https://finder.startupnationcentral.org/company_page/plastic-back,Converting Plastic Waste into Crude Oil,Industrial Technologies,2020,01-Oct,A,42833362
Melio,https://finder.startupnationcentral.org/company_page/melio,B2B Payment Platform for Small Businesses,FinTech,2018,500+,D,18696467
SeeTree,https://finder.startupnationcentral.org/company_page/seetree,Intelligence Platform for Monitoring Trees,AgriFood-tech & Water,2017,51-200,C,25027208
Groundwork BioAg,https://finder.startupnationcentral.org/company_page/groundwork-bioag,Mycorrhizal Inoculants for Commercial Agriculture,AgriFood-tech & Water,2014,51-200,B,5022013
Zero Egg,https://finder.startupnationcentral.org/company_page/zeroegg,Plant-based Egg Substitute,AgriFood-tech & Water,2018,Nov-50,A,19032248
Circles,https://finder.startupnationcentral.org/company_page/7chairs,Online Support Group Platform,Life Sciences & HealthTech,2020,51-200,A,34595189
4M Analytics,https://finder.startupnationcentral.org/company_page/4m-analytics,Subsurface Utility Mapping Solutions,Aerospace & Aviation,2019,51-200,A,19028288
AppsFlyer,https://finder.startupnationcentral.org/company_page/appsflyer,Mobile Attribution and Marketing Analytics,Retail & Marketing,2011,500+,D,2233984
GreenOnyx,https://finder.startupnationcentral.org/company_page/greenonyx,Sterile and Autonomous 4.0 Agriculture Platform,AgriFood-tech & Water,2012,Nov-50,A,51879520
Vanilla Vida,https://finder.startupnationcentral.org/company_page/vanilla-vida,Harnessing technology to improve the vanilla value chain,AgriFood-tech & Water,2020,Nov-50,A,38136251
SCADAfence,https://finder.startupnationcentral.org/company_page/scadafence,OT and IoT Cyber Security Platform for Critical Infrastructure and Enterprises,Security Technologies,2014,51-200,Mature,9181505
YouAppi,https://finder.startupnationcentral.org/company_page/youappi,Mobile Marketing Platform,Retail & Marketing,2011,51-200,Mature,2461032
CytoReason,https://finder.startupnationcentral.org/company_page/cytoreason,Machine Learning for Data-driven Target Discovery and Drug Development,Life Sciences & HealthTech,2016,51-200,A,12901361
Spinframe Technologies,https://finder.startupnationcentral.org/company_page/spinframe360,Large-scale Vehicle Monitoring Solution,Smart Mobility,2017,Nov-50,Seed,33313559
UJett D.P,https://finder.startupnationcentral.org/company_page/ujett,Digital Manufacture of Smart Optical Coatings,Industrial Technologies,2013,01-Oct,Seed,36160805
Bounce,https://finder.startupnationcentral.org/company_page/bounce,AI-based Debt Recovery Solution,FinTech,2022,01-Oct,Pre-Funding,80062417
Aleph Farms,https://finder.startupnationcentral.org/company_page/aleph-farms,Cellular Agriculture Technology,AgriFood-tech & Water,2017,51-200,B,18542901
Perion Network,https://finder.startupnationcentral.org/company_page/perion-network,Ad Tech Solutions for Brands and Publishers,Retail & Marketing,1999,500+,Public,26531
Nugen,https://finder.startupnationcentral.org/company_page/nugen,Solid-state Hydrogen-based Powerpacks,Energy-tech,2022,01-Oct,Seed,
Loora,https://finder.startupnationcentral.org/company_page/loora,Personal AI English Tutor,Content & Media,2020,Nov-50,Seed,69173996
Momentis Surgical,https://finder.startupnationcentral.org/company_page/memic-innovative-surgery,Robot-assisted Surgical Platform,Life Sciences & HealthTech,2012,51-200,E,51962065
Enzymit,https://finder.startupnationcentral.org/company_page/enzymit,Cell-free Bioproduction,AgriFood-tech & Water,2020,Nov-50,Seed,64880066
"DOTS, Data of the Soil",https://finder.startupnationcentral.org/company_page/dots-data-of-the-soil,Real-Time Soil Nitrate Monitoring,AgriFood-tech & Water,2021,01-Oct,Pre-Seed,79865339
Chiefy,https://finder.startupnationcentral.org/company_page/chiefy,Clinical Communication and Collaboration System,Life Sciences & HealthTech,2023,01-Oct,Seed,70416831
Driivz,https://finder.startupnationcentral.org/company_page/driivz,Electric Vehicle Charging and Energy Management Solution,Energy-tech,2012,51-200,Mature,10793483
Pulsenmore,https://finder.startupnationcentral.org/company_page/pulsenmore,Handheld Ultrasound Device,Life Sciences & HealthTech,2014,51-200,Public,73240861
Weebit Nano,https://finder.startupnationcentral.org/company_page/weebit-nano,Advanced Silicon Oxide ReRAM Technology,Industrial Technologies,2015,Nov-50,Public,27170606
SentinelOne,https://finder.startupnationcentral.org/company_page/sentinelone,Autonomous AI Endpoint Security Platform,Security Technologies,2013,500+,Public,2886771
HUB Cyber Security,https://finder.startupnationcentral.org/company_page/hub-cyber-security,Confidential Computing Cybersecurity Platform,Security Technologies,2017,51-200,Public,18444151
BugEra,https://finder.startupnationcentral.org/company_page/bugera,Insect Biotechnology,AgriFood-tech & Water,2020,01-Oct,Pre-Seed,71714175
Kando,https://finder.startupnationcentral.org/company_page/kando,Wastewater Intelligence Platform,AgriFood-tech & Water,2011,51-200,B,17894729
Remondo,https://finder.startupnationcentral.org/company_page/remondo,High-resolution Imaging Solution ,Industrial Technologies,2022,01-Oct,Pre-Seed,
Prisma Photonics,https://finder.startupnationcentral.org/company_page/prisma-photonics,Utility Monitoring for Large-scale Infrastructure,Industrial Technologies,2017,51-200,B,18509605
Nayax,https://finder.startupnationcentral.org/company_page/nayax,Cashless Payment Platform and Management Solution for Merchants,FinTech,2005,500+,Public,2214630
NAKI,https://finder.startupnationcentral.org/company_page/naki,Turning Waste Into Raw Material for SAF and Biofuel,Industrial Technologies,2022,01-Oct,Pre-Funding,90980398
Nano Dimension,https://finder.startupnationcentral.org/company_page/nano-dimension,Additive Electronics Provider,Industrial Technologies,2012,201-500,Mature,5323642
Bringg,https://finder.startupnationcentral.org/company_page/bringg,Delivery and Fulfillment Cloud Platform for Enterprises,Smart Mobility,2013,201-500,E,3276916
BlueGreen Water Technologies,https://finder.startupnationcentral.org/company_page/bluegreen-water-technologies,Climate Technology Solutions for Water Bodies,AgriFood-tech & Water,2014,Nov-50,B,
